Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen,id
Andaman & Nicobar Islands,2001,Burglary - Property,3. Burglary,27,64,755858,1321961,1
Andhra Pradesh,2001,Burglary - Property,3. Burglary,3321,7134,51483437,147019348,2
Arunachal Pradesh,2001,Burglary - Property,3. Burglary,66,248,825115,4931904,3
Assam,2001,Burglary - Property,3. Burglary,539,2423,3722850,21466955,4
Bihar,2001,Burglary - Property,3. Burglary,367,3231,2327135,17023937,5
Chandigarh,2001,Burglary - Property,3. Burglary,119,364,1804823,10217378,6
Chhattisgarh,2001,Burglary - Property,3. Burglary,1169,4144,6518261,30457033,7
Dadra & Nagar Haveli,2001,Burglary - Property,3. Burglary,10,34,247140,1333389,8
Daman & Diu,2001,Burglary - Property,3. Burglary,7,43,479300,2084845,9
Delhi,2001,Burglary - Property,3. Burglary,642,3029,39632177,150033824,10
Goa,2001,Burglary - Property,3. Burglary,65,347,895875,9991574,11
Gujarat,2001,Burglary - Property,3. Burglary,1124,4928,20821285,141650158,12
Haryana,2001,Burglary - Property,3. Burglary,1257,3098,27369980,64576543,13
Himachal Pradesh,2001,Burglary - Property,3. Burglary,93,812,2936881,17092490,14
Jammu & Kashmir,2001,Burglary - Property,3. Burglary,161,1345,2905184,27222163,15
Jharkhand,2001,Burglary - Property,3. Burglary,186,1150,757019,9552273,16
Karnataka,2001,Burglary - Property,3. Burglary,1768,6394,42221208,139393376,17
Kerala,2001,Burglary - Property,3. Burglary,815,4185,21414046,131614945,18
Lakshadweep,2001,Burglary - Property,3. Burglary,0,1,0,12000,19
Madhya Pradesh,2001,Burglary - Property,3. Burglary,3526,13549,31332930,118549565,20
Maharashtra,2001,Burglary - Property,3. Burglary,3595,13881,62519296,444283747,21
Manipur,2001,Burglary - Property,3. Burglary,3,75,58311,2658341,22
Meghalaya,2001,Burglary - Property,3. Burglary,50,170,324600,1354414,23
Mizoram,2001,Burglary - Property,3. Burglary,188,417,1595997,3249203,24
Nagaland,2001,Burglary - Property,3. Burglary,21,84,1413954,6922133,25
Odisha,2001,Burglary - Property,3. Burglary,1388,3061,8474685,46361453,26
Puducherry,2001,Burglary - Property,3. Burglary,34,111,549650,2857023,27
Punjab,2001,Burglary - Property,3. Burglary,721,1902,14056644,73809455,28
Rajasthan,2001,Burglary - Property,3. Burglary,1926,6867,35754908,117399424,29
Sikkim,2001,Burglary - Property,3. Burglary,16,71,217600,861706,30
Tamil Nadu,2001,Burglary - Property,3. Burglary,3227,5919,51446376,124908287,31
Tripura,2001,Burglary - Property,3. Burglary,42,198,358200,3156795,32
Uttar Pradesh,2001,Burglary - Property,3. Burglary,1081,6953,542439850,664903989,33
Uttarakhand,2001,Burglary - Property,3. Burglary,78,533,1005993,9915454,34
West Bengal,2001,Burglary - Property,3. Burglary,100,426,3066048,12787328,35
Andaman & Nicobar Islands,2002,Burglary - Property,3. Burglary,13,49,201275,491892,1
Andhra Pradesh,2002,Burglary - Property,3. Burglary,3166,7581,61296964,176224716,2
Arunachal Pradesh,2002,Burglary - Property,3. Burglary,66,249,4414636,8057641,3
Assam,2002,Burglary - Property,3. Burglary,484,2504,3594961,22146550,4
Bihar,2002,Burglary - Property,3. Burglary,371,3182,2490854,20176572,5
Chandigarh,2002,Burglary - Property,3. Burglary,83,336,3310301,13967262,6
Chhattisgarh,2002,Burglary - Property,3. Burglary,902,3731,6998830,30830441,7
Dadra & Nagar Haveli,2002,Burglary - Property,3. Burglary,13,38,1145571,2525660,8
Daman & Diu,2002,Burglary - Property,3. Burglary,14,56,2429100,4539519,9
Delhi,2002,Burglary - Property,3. Burglary,843,2360,7695881,131034713,10
Goa,2002,Burglary - Property,3. Burglary,74,359,1753917,12622949,11
Gujarat,2002,Burglary - Property,3. Burglary,1183,5153,21424048,181149074,12
Haryana,2002,Burglary - Property,3. Burglary,1360,3048,28293801,66317650,13
Himachal Pradesh,2002,Burglary - Property,3. Burglary,121,642,1595224,84519165,14
Jammu & Kashmir,2002,Burglary - Property,3. Burglary,167,1321,3479429,31854450,15
Jharkhand,2002,Burglary - Property,3. Burglary,220,1419,1208261,10289240,16
Karnataka,2002,Burglary - Property,3. Burglary,1987,6480,61391062,178997480,17
Kerala,2002,Burglary - Property,3. Burglary,928,4447,20039092,197320724,18
Lakshadweep,2002,Burglary - Property,3. Burglary,2,9,26795,115645,19
Madhya Pradesh,2002,Burglary - Property,3. Burglary,4107,13344,31684582,139525244,20
Maharashtra,2002,Burglary - Property,3. Burglary,3634,13273,73463306,468021474,21
Manipur,2002,Burglary - Property,3. Burglary,1,44,9525,4136635,22
Meghalaya,2002,Burglary - Property,3. Burglary,18,153,235630,2883366,23
Mizoram,2002,Burglary - Property,3. Burglary,217,446,2257657,13007402,24
Nagaland,2002,Burglary - Property,3. Burglary,34,110,413370,4121381,25
Odisha,2002,Burglary - Property,3. Burglary,1087,2755,11344562,44470276,26
Puducherry,2002,Burglary - Property,3. Burglary,38,129,1135868,3208215,27
Punjab,2002,Burglary - Property,3. Burglary,770,1928,18281270,77239545,28
Rajasthan,2002,Burglary - Property,3. Burglary,1855,6300,38679925,112170907,29
Sikkim,2002,Burglary - Property,3. Burglary,9,45,24600,171030,30
Tamil Nadu,2002,Burglary - Property,3. Burglary,2953,5492,45654971,115086173,31
Tripura,2002,Burglary - Property,3. Burglary,39,192,276519,3096253,32
Uttar Pradesh,2002,Burglary - Property,3. Burglary,1028,4861,36078709,121312730,33
Uttarakhand,2002,Burglary - Property,3. Burglary,113,496,3509806,14733698,34
West Bengal,2002,Burglary - Property,3. Burglary,128,348,1701319,14912291,35
Andaman & Nicobar Islands,2003,Burglary - Property,3. Burglary,16,56,681962,1068059,1
Andhra Pradesh,2003,Burglary - Property,3. Burglary,3475,8969,64794798,195788844,2
Arunachal Pradesh,2003,Burglary - Property,3. Burglary,83,253,12276582,18114179,3
Assam,2003,Burglary - Property,3. Burglary,509,2606,4036694,19841323,4
Bihar,2003,Burglary - Property,3. Burglary,305,2986,1719760,19821137,5
Chandigarh,2003,Burglary - Property,3. Burglary,85,204,1336159,7223758,6
Chhattisgarh,2003,Burglary - Property,3. Burglary,968,3621,8190813,38433339,7
Dadra & Nagar Haveli,2003,Burglary - Property,3. Burglary,12,41,3336861,6259345,8
Daman & Diu,2003,Burglary - Property,3. Burglary,5,41,141411,1419192,9
Delhi,2003,Burglary - Property,3. Burglary,758,1898,4268081,84069640,10
Goa,2003,Burglary - Property,3. Burglary,109,244,2170727,10457254,11
Gujarat,2003,Burglary - Property,3. Burglary,1334,5684,27303140,186884277,12
Haryana,2003,Burglary - Property,3. Burglary,1411,2967,35400318,68528246,13
Himachal Pradesh,2003,Burglary - Property,3. Burglary,105,645,1556198,13237009,14
Jammu & Kashmir,2003,Burglary - Property,3. Burglary,224,1526,5203336,40211927,15
Jharkhand,2003,Burglary - Property,3. Burglary,192,1374,1175731,10735942,16
Karnataka,2003,Burglary - Property,3. Burglary,1530,6049,36028899,147855476,17
Kerala,2003,Burglary - Property,3. Burglary,1053,4164,18605342,136448825,18
Lakshadweep,2003,Burglary - Property,3. Burglary,0,6,0,65000,19
Madhya Pradesh,2003,Burglary - Property,3. Burglary,3589,12641,29830876,155291507,20
Maharashtra,2003,Burglary - Property,3. Burglary,3766,13202,65230975,635796246,21
Manipur,2003,Burglary - Property,3. Burglary,1,68,1800,3049066,22
Meghalaya,2003,Burglary - Property,3. Burglary,13,160,156430,75269392,23
Mizoram,2003,Burglary - Property,3. Burglary,268,487,3079379,4920998,24
Nagaland,2003,Burglary - Property,3. Burglary,19,82,603404,2172262,25
Odisha,2003,Burglary - Property,3. Burglary,1231,2910,13996401,48730506,26
Puducherry,2003,Burglary - Property,3. Burglary,56,126,1679750,6744373,27
Punjab,2003,Burglary - Property,3. Burglary,797,2094,19620531,86923821,28
Rajasthan,2003,Burglary - Property,3. Burglary,1588,5779,50150183,129565091,29
Sikkim,2003,Burglary - Property,3. Burglary,7,48,318439,1546492,30
Tamil Nadu,2003,Burglary - Property,3. Burglary,2877,4849,55816582,111017636,31
Tripura,2003,Burglary - Property,3. Burglary,19,167,246425,2391169,32
Uttar Pradesh,2003,Burglary - Property,3. Burglary,752,2928,142320613,190722347,33
Uttarakhand,2003,Burglary - Property,3. Burglary,122,513,3045988,11715052,34
West Bengal,2003,Burglary - Property,3. Burglary,101,342,2966663,11762330,35
Andaman & Nicobar Islands,2004,Burglary - Property,3. Burglary,30,69,1779879,3208951,1
Andhra Pradesh,2004,Burglary - Property,3. Burglary,3451,8041,61730107,216381714,2
Arunachal Pradesh,2004,Burglary - Property,3. Burglary,41,215,1129291,6750572,3
Assam,2004,Burglary - Property,3. Burglary,414,2544,6262774,46224544,4
Bihar,2004,Burglary - Property,3. Burglary,277,3175,2380067,24846468,5
Chandigarh,2004,Burglary - Property,3. Burglary,75,186,1438860,11436390,6
Chhattisgarh,2004,Burglary - Property,3. Burglary,1151,3720,6060825,40581456,7
Dadra & Nagar Haveli,2004,Burglary - Property,3. Burglary,5,20,350014,1038871,8
Daman & Diu,2004,Burglary - Property,3. Burglary,8,35,99100,2489725,9
Delhi,2004,Burglary - Property,3. Burglary,772,1875,3181843,133196885,10
Goa,2004,Burglary - Property,3. Burglary,81,245,2210814,14288368,11
Gujarat,2004,Burglary - Property,3. Burglary,1308,5670,34432089,211383452,12
Haryana,2004,Burglary - Property,3. Burglary,1245,2779,32863180,67073579,13
Himachal Pradesh,2004,Burglary - Property,3. Burglary,148,722,4852642,20825219,14
Jammu & Kashmir,2004,Burglary - Property,3. Burglary,235,1420,8519470,34785380,15
Jharkhand,2004,Burglary - Property,3. Burglary,220,1419,1208261,10289240,16
Karnataka,2004,Burglary - Property,3. Burglary,1695,6093,50828582,174253060,17
Kerala,2004,Burglary - Property,3. Burglary,1126,4359,26572753,151987763,18
Lakshadweep,2004,Burglary - Property,3. Burglary,0,2,0,2160,19
Madhya Pradesh,2004,Burglary - Property,3. Burglary,3943,12130,33345035,145505628,20
Maharashtra,2004,Burglary - Property,3. Burglary,3952,13896,141098005,544644465,21
Manipur,2004,Burglary - Property,3. Burglary,6,66,851177,2760756,22
Meghalaya,2004,Burglary - Property,3. Burglary,19,130,245154,1991361,23
Mizoram,2004,Burglary - Property,3. Burglary,180,250,575000,758220,24
Nagaland,2004,Burglary - Property,3. Burglary,13,52,140245,1246138,25
Odisha,2004,Burglary - Property,3. Burglary,1127,2990,13227198,52807227,26
Puducherry,2004,Burglary - Property,3. Burglary,48,86,1419510,2828010,27
Punjab,2004,Burglary - Property,3. Burglary,666,1766,16682669,91624075,28
Rajasthan,2004,Burglary - Property,3. Burglary,1588,5619,39415095,108989033,29
Sikkim,2004,Burglary - Property,3. Burglary,12,64,397673,1054933,30
Tamil Nadu,2004,Burglary - Property,3. Burglary,2679,4147,76752113,124839785,31
Tripura,2004,Burglary - Property,3. Burglary,36,166,1348165,4918835,32
Uttar Pradesh,2004,Burglary - Property,3. Burglary,972,4192,99202552,173330606,33
Uttarakhand,2004,Burglary - Property,3. Burglary,100,516,3700267,14665091,34
West Bengal,2004,Burglary - Property,3. Burglary,129,547,3076728,12198178,35
Andaman & Nicobar Islands,2005,Burglary - Property,3. Burglary,25,68,705419,3418391,1
Andhra Pradesh,2005,Burglary - Property,3. Burglary,3578,7894,92930221,240127856,2
Arunachal Pradesh,2005,Burglary - Property,3. Burglary,56,263,1185696,7275247,3
Assam,2005,Burglary - Property,3. Burglary,523,2255,7068609,29458429,4
Bihar,2005,Burglary - Property,3. Burglary,311,3117,3584517,34869204,5
Chandigarh,2005,Burglary - Property,3. Burglary,105,223,2806616,7108230,6
Chhattisgarh,2005,Burglary - Property,3. Burglary,1186,3621,11063089,51741764,7
Dadra & Nagar Haveli,2005,Burglary - Property,3. Burglary,9,25,5162150,6257250,8
Daman & Diu,2005,Burglary - Property,3. Burglary,5,37,365000,2514680,9
Delhi,2005,Burglary - Property,3. Burglary,871,2093,8172281,198019747,10
Goa,2005,Burglary - Property,3. Burglary,71,257,1909368,13803082,11
Gujarat,2005,Burglary - Property,3. Burglary,1188,5140,67616775,254373304,12
Haryana,2005,Burglary - Property,3. Burglary,1527,3425,42714747,81885034,13
Himachal Pradesh,2005,Burglary - Property,3. Burglary,136,691,4125018,22867849,14
Jammu & Kashmir,2005,Burglary - Property,3. Burglary,209,1397,4920818,36077553,15
Jharkhand,2005,Burglary - Property,3. Burglary,259,1600,2045450,39496852,16
Karnataka,2005,Burglary - Property,3. Burglary,1688,5986,59175016,261321837,17
Kerala,2005,Burglary - Property,3. Burglary,939,3914,18941597,187698662,18
Lakshadweep,2005,Burglary - Property,3. Burglary,1,2,8410,20410,19
